:1st_place_medal: 🥇
:alien: 👽
:ambulance: 🚑
:angry_face: 😠
:apple: 🍎
:astonished_face: 😲
:baby: 👶
:baby_bottle: 🍼
:backhand_index_pointing_left: 👈
:backhand_index_pointing_right: 👉
:backpack: 🎒
:balance_scale: ⚖
:balloon: 🎈
:battery: 🔋
:beaming_face_with_smiling_eyes: 😁
:bee: 🐝
:beer_mug: 🍺
:bell: 🔔
:beverage_box: ✖️
:bison: 🐂
:blue_heart: 💙
:blush: 😳
:body-blue-raised-arms: 🙋‍♂️ 
:bomb: 💣
:bouquet: 💐
:boxing_glove: 🥊
:boy: 👦
:brain: 🧠
:buffering: ⌛
:bulb: 💡
:bullseye: 🎯
:bus: 🚌
:call_me_hand: 🤙
:camera: 📷
:camera_with_flash: 📸
:candle: 🕯️
:candle: 🕯️
:carpentry_saw: ✖️
:castle: 🏰
:cat_with_tears_of_joy: 😹
:chart_decreasing: 📉
:chart_with_downwards_trend: 
:cheese_wedge: 🧀
:chicken: 🐔
:cigarette: 🚬
:clap: 👏
:clapping_hands: 👏
:clinking_beer_mugs: 🍻
:clipboard: 📋
:clown_face: 🤡
:coffin: ⚰
:cold_face: ✖️
:collision: 💥
:confused_face: 😕
:construction: 🚧
:cookie: 🍪
:cow: 🐂
:cow: 🐄
:crab: 🦀
:cricket: 🦗
:cricket: 🦗️
:crown: 👑
:dancer: 💃
:dashing_away: 💨
:deciduous_tree: 🌳
:disappointed_face: 😞
:disguised_face: ✖️
:dog: 🐕
:dog2: ✖️
:dog2: 🐕
:dolphin: 🐬
:dothefive: 5️⃣
:double_exclamation_mark: ‼
:drooling_face: 🤤
:earth_africa: 🌍
:earth_americas: 🌎
:earth_asia:🌏
:egg2: 🥚
:eggplant: 🍆
:elbowcough: 💪
:exclamation_question_mark: ⁉
:exploding_head: 🤯
:expressionless_face: 😑
:eye: 👁
:eyes: 👀
:eyes-pink-heart-shape: 😍
:face_blowing_a_kiss: 😘
:face-blue-smiling: 😍
:face-fuchsia-poop-shape: ✖
:face-fuchsia-wide-eyes: ✖
:face-orange-raised-eyebrow: ✖
:face-purple-crying: 😢
:face-purple-smiling-fangs: ✖
:face-purple-smiling-tears: ✖
:face-purple-wide-eyes: ✖
:face_savoring_food: 😋
:face_screaming_in_fear: 😱
:face-turquoise-covering-eyes: ✖
:face-turquoise-drinking-coffee: ✖
:face_vomiting: 🤮
:face_with_hand_over_mouth: 🤭
:face_with_head_bandage: 🤕
:face_with_monocle: 🧐
:face_with_open_mouth: 😮
:face_without_mouth: 😶
:face_with_raised_eyebrow: 🤨
:face_with_rolling_eyes: 🙄
:face_with_spiral_eyes: 😵‍💫
:face_with_tears_of_joy: 😂
:face_with_tongue: 😛
:family: 👪
:fire: 🔥
:first_quarter_moon: ☽
:first_quarter_moon_face: 🌛
:first_quarter_moon_with_face: 🌛
:fish: 🐟
:flag_in_hole: ⛳
:flashlight: 🔦
:flexed_biceps: 💪
:flushed_face: 😳
:folded_hands: 🙏
:fried_shrimp: ✖
:frog: 🐸
:fuel_pump: ⛽
:fuel_pump: ⛽
:fuelpump: ⛽
:full_moon: 🌕
:full_moon_face: 🌝
:garlic: ✖️
:gem_stone: 💎
:ghost: 👻
:glass_of_milk: 🥛
:globe_showing_americas: 🌎
:globe_showing_asia_australia: 🌏
:globe_showing_europe_africa: 🌍
:globe_with_meridians: 🌐
:goat: 🐐
:goat-turquoise-white-horns: ✖
:goblin: ✖
:golf: 🏌️‍
:goodvibes: ✌️
:grimacing_face: 😬
:grin: 😀
:grinning: 😀
:grinning_face: 😀
:grinning_face_with_big_eyes: 😃
:grinning_face_with_smiling_eyes: ✖️
:grinning_face_with_smiling_eyes: 😁
:grinning_face_with_sweat: 😅
:grinning_squinting_face: 😆
:hammer_and_wrench: 🛠️
:hand-orange-covering-eyes: ✖
:hand-pink-waving: ✖
:hand-purple-blue-peace: ✖
:handshake: 🤝
:hand_with_fingers_splayed: 🖐
:hankey: ✖
:hear_no_evil: 🙉
:hear_no_evil_monkey: 🙉
:heart: ❤
:heart_on_fire: ❤‍🔥
:herb: 🌿
:hibiscus: 🌺
:honeybee: 🐝
:horse: 🐎
:horse_face: 🐴
:hourglass_done: ✖
:hourglass_not_done: ✖
:house_with_garden: 🏡
:hugging_face: 🤗
:hushed_face: 😯
:hydrate: ✖
:joy: 😂
:kiss: 💋
:kissing_face: ✖
:kissing_face_with_closed_eyes: 😚
:kissing_heart: 😘
:knocked_out_face: 😵
:last_quarter_moon: ☾
:last_quarter_moon_face: 🌜
:last_quarter_moon_with_face: 🌜
:laughing: 🤣
:left_facing_fist: 🤛
:leopard: 🐆
:light_bulb: 💡
:lollipop: 🍭
:loudly_crying_face: 😭
:loud_sound: 🔊
:loudspeaker: 📢
:love_you_gesture: ✖
:lying_face: 🤥
:magnet: ✖
:magnifying_glass_tilted_right: 🔎
:mag_right: ✖
:man_facepalming: 🤦‍♂
:man_shrugging: 🤷‍♂
:man_swimming: 🏊‍♂
:man_zombie: 🧟‍♂
:maple_leaf: 🍁
:meat_on_bone: 🍖
:microphone: 🎤
:middle_finger: 🖕
:military_medal: ✖
:moai: 🗿
:money_bag: ✖
:money_mouth_face: 🤑
:money_with_wings: 💸
:moon: 🌕
:motor_boat: 🛥️
:mouth: 👄
:movie_camera: 🎥
:moyai: 🗿
:multiply: ✖️
:musical_note: 🎵
:musical_notes: 🎶
:musical_score: 🎼
:muted_speaker: 🔇
:nail_care: 💅
:nail_polish: 💅
:national_park: 🏞
:nerd_face: 🤓
:neutral_face: 😐
:new_moon: 🌑
:night_with_stars: 🌃
:ninja: ✖
:no_smoking: 🚭
:office_building: 🏢
:ogre: ✖
:ok_hand: ✖
:oncoming_fist: 👊
:oops: 🤭
:oops: ✖️
:open_hands: 👐
:ox: 🐂
:package: 📦
:parachute: ✖️
:partying_face: ✖️
:partying_face: ✖
:pear: 🍐
:pensive_face: 😔
:people_hugging: ✖️
:person_cartwheeling: 🤸
:person_facepalming: 🤦
:person_fencing: 🤺
:person_gesturing_ok: 🙆
:person_in_lotus_position: 🧘
:person_raising_hand: 🙋
:person_running: 🏃
:person_shrugging: 🤷
:person_swimming: 🏊
:person_taking_bath: 🛀
:petri_dish: 🧫
:pig: 🐷
:pile_of_poo: ✖
:pill: 💊
:pineapple: 🍍
:ping_pong: 🏓
:pirate_flag: 🏴‍☠
:pizza: 🍕
:planet-orange-purple-ring: ✖
:point_left: 👈
:point_right: 👉
:police_car_light: 🚨
:poodle: 🐩
:poop: 💩
:popcorn: 🍿
:potato: 🥔
:pouting_face: 😡
:prohibited: 🚫
:purple_heart: 💜
:racehorse: 🐎
:radio: 📻
:rainbow: 🌈
:rainbow_flag: 🏳️‍🌈
:raised_fist: ✊
:raised_hand: ✋
:raising_hands: 🙌
:recycling_symbol: ✖
:red_apple: 🍎
:red_circle: 🔴
:red_exclamation_mark: ❗
:red_heart: ❤
:red_question_mark: ❓
:relieved_face: 😌
:revolving_hearts: 💞
:right_facing_fist: 🤜
:robot: 🤖
:rock: ✖
:rolling_on_the_floor_laughing: 🤣
:roll_of_paper: ✖
:rooster: 🐓
:rose: 🌹
:rotating_light: 🚨
:sad_but_relieved_face: 😥
:sailboat: ⛵
:satellite_antenna: 📡
:satisfied: ✖
:school_satchel: 🎒
:scissors: ✂
:scroll: 📜
:see_no_evil: 🙈
:see_no_evil_monkey: 🙈
:selfie: 🤳
:sheaf_of_rice: 🌾
:shushing_face: 🤫
:sign_of_the_horns: 🤘
:skull: 💀
:skunk: ✖
:sleeping_face: 😴
:sleepy_face: 😪
:slightly_frowning_face: 🙁
:slightly_smiling_face: 🙂
:small_airplane: 🛩
:smiley: 😍
:smiling_cat_with_heart_eyes: 😻
:smiling_face: 😍
:smiling_face_with_halo: 😇
:smiling_face_with_heart_eyes: 😍
:smiling_face_with_hearts: 😍
:smiling_face_with_horns: 😈
:smiling_face_with_smiling_eyes: 😊
:smiling_face_with_sunglasses: 😎
:smiling_face_with_tear: ✖
:smiling_imp: 😍
:smirking_face: 😏
:smoking: 🚬
:snake: 🐍
:sneezing_face: 🤧
:sob: 😭
:soccer_ball: ⚽
:socialdist: ✖️
:softball: ⚽
:sparkles: ✨
:sparkling_heart: 💖
:speaker_high_volume: 🔊
:speaking_head: 🗣
:speaking_head_in_silhouette: 🗣️
:speak_no_evil: 🙊
:speak_no_evil_monkey: 🙊
:sports_medal: ✖
:spouting_whale: 🐳
:squinting_face_with_tongue: 😝
:star_struck: 🤩
:stuck_out_tongue_winking_eye: 😝
:sun: ☀
:sunglasses: 🕶️
:sweat_droplets: 💦
:syringe: 💉
:table_tennis_paddle_and_ball: 🏓
:tangerine: 🍊
:telescope: 🔭
:test_tube: 🧪
:thermometer: 🌡
:thinking_face: 🤔
:thought_balloon: 💭
:thumbs_up: 👍
:toilet: 🚽
:tongue: 👅
:transgender_symbol: ⚧️
:triangular_ruler: 📐
:trident: 🔱
:trident_emblem: 🔱
:trophy: ✖
:trumpet: 🎺
:tulip: 🌷
:tumbler_glass: 🥃
:turtle: 🐢
:two_hearts: 💕
:umbrella_on_ground: ⛱️
:unamused_face: 😒
:unicorn: ✖
:upside_down_face: 🙃
:v: ✌
:victory_hand: ✌
:waning_crescent_moon: 🌘
:waning_gibbous_moon: 🌖
:warning: ⚠
:washhands: ✖
:water_pistol: 🔫
:water_wave: 🌊
:waving_hand: 👋
:waxing_crescent_moon: 🌒
:waxing_gibbous_moon: 🌔
:weary_cat: 🙀
:weary_face: 😩
:whale: 🐋
:wheelchair: ♿
:wheelchair_symbol: ♿
:white_exclamation_mark: ❕
:wilted_flower: 🥀
:wine_glass: 🍷
:winking_face: 😉
:winking_face_with_tongue: 😜
:woman_cartwheeling: 🤸‍♀️
:woman_dancing: 💃
:woman_genie: ✖
:woman_in_lotus_position: 🧘‍♀
:woman_raising_hand: 🙋‍♀
:womans_sandal: 👡
:woozy_face: ✖
:yougotthis: ✖
:yt: ▶️
:zany_face: 🤪
:zzz: 😴
